wavenumber,transmittance,label
399.6917,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
400.1738,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
400.6559,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
401.1381,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
401.6202,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
402.1023,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
402.5845,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
403.0666,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
403.5487,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
404.0309,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
404.513,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
404.9951,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
405.4773,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
405.9594,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
406.4416,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
406.9237,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
407.4059,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
407.888,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
408.3701,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
408.8523,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
409.3344,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
409.8165,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
410.2987,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
410.7808,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
411.2629,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
411.7451,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
412.2272,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
412.7094,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
413.1915,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
413.6736,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
414.1558,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
414.6379,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
415.12,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
415.6022,0.0,Blood_and_RNA_1mg_and_Lys_1mg.CSV
